Most used words by  T-Pain: 
1131. boring - 7 uses.
1132. shift - 7 uses.
1133. snuck - 7 uses.
1134. stairs - 7 uses.
1135. s**t - 7 uses.
1136. loaded - 7 uses.
1137. least - 6 uses.
1138. dirty - 6 uses.
1139. clear - 6 uses.
1140. dumb - 6 uses.
1141. laid - 6 uses.
1142. yup - 6 uses.
1143. chicks - 6 uses.
1144. pill - 6 uses.
1145. yard - 6 uses.
1146. ham - 6 uses.
1147. seat - 6 uses.
1148. twitter - 6 uses.
1149. tricks - 6 uses.
1150. ventilation - 6 uses.
1151. fur - 6 uses.
1152. yah - 6 uses.
1153. uhhh - 6 uses.
1154. bra - 6 uses.
1155. pockets - 6 uses.
1156. motion - 6 uses.
1157. goddamn - 6 uses.
1158. ate - 6 uses.
1159. six - 6 uses.
1160. radio - 6 uses.
1161. 1000 - 6 uses.
1162. bunch - 6 uses.
1163. twice - 6 uses.
1164. band - 6 uses.
1165. kno - 6 uses.
1166. fightin - 6 uses.
1167. stayin - 6 uses.
1168. guy - 6 uses.
1169. tip - 6 uses.
1170. stand - 6 uses.
1171. weight - 6 uses.
1172. trip - 6 uses.
1173. early - 6 uses.
1174. hammer - 6 uses.
1175. universe - 6 uses.
1176. turning - 6 uses.
1177. raise - 6 uses.
1178. tv - 6 uses.
1179. touching - 6 uses.
1180. missing - 6 uses.
1181. hips - 6 uses.
1182. water - 6 uses.
1183. dime - 6 uses.
1184. smart - 6 uses.
1185. mike - 6 uses.
1186. sounding - 6 uses.
1187. 100 - 6 uses.
1188. witness - 6 uses.
1189. starting - 6 uses.
1190. closed - 6 uses.
1191. situation - 6 uses.
1192. meant - 6 uses.
1193. everyday - 6 uses.
1194. choose - 6 uses.
1195. ohhhhh - 6 uses.
1196. spread - 6 uses.
1197. finger - 6 uses.
1198. screwed-screwed - 6 uses.
1199. takes - 6 uses.
1200. rules - 6 uses.
1201. chains - 6 uses.
1202. lift - 6 uses.
1203. circus - 6 uses.
1204. curse - 6 uses.
1205. undercover - 6 uses.
1206. burn - 6 uses.
1207. able - 6 uses.
1208. nights - 6 uses.
1209. mmm - 6 uses.
1210. twenty-three - 6 uses.
1211. rough - 6 uses.
1212. send - 6 uses.
1213. lust - 6 uses.
1214. akon - 6 uses.
1215. slowly - 6 uses.
1216. moment - 6 uses.
1217. five - 6 uses.
1218. wide - 6 uses.
1219. sober - 6 uses.
1220. bruh - 6 uses.
1221. yknow - 6 uses.
1222. trick - 6 uses.
1223. hittin - 6 uses.
1224. pie - 6 uses.
1225. drinkin - 6 uses.
1226. rip - 6 uses.
1227. state - 6 uses.
1228. falling - 6 uses.
1229. droppin - 6 uses.
1230. everythang - 6 uses.
1231. flow - 6 uses.
1232. rubbin - 6 uses.
1233. guarantee - 6 uses.
1234. shame - 6 uses.
1235. twista - 6 uses.
1236. butter - 6 uses.
1237. video - 6 uses.
1238. ear - 6 uses.
1239. nowhere - 6 uses.
1240. louis - 6 uses.
1241. zero - 6 uses.
1242. won’t - 6 uses.
1243. posting - 6 uses.
1244. a-ah - 6 uses.
1245. textin - 6 uses.
1246. center - 6 uses.
1247. coupe - 6 uses.
1248. – - 6 uses.
1249. shaking - 6 uses.
1250. standing - 6 uses.
1251. searching - 6 uses.
1252. steady - 6 uses.
1253. such - 6 uses.
1254. dc - 6 uses.
1255. fell - 6 uses.
1256. dreamin - 6 uses.
1257. wool - 6 uses.
1258. di - 6 uses.
1259. card - 6 uses.
1260. pretended - 6 uses.
1261. tricky - 6 uses.
1262. tricking - 6 uses.
1263. ir - 6 uses.
1264. oh-oh-oh-oh-oh - 6 uses.
1265. cowgirl - 6 uses.
1266. ewwwwhaaa - 6 uses.
1267. eeeahhh - 6 uses.
1268. tie - 6 uses.
1269. bardi - 6 uses.
1270. wobble-dy - 6 uses.
1271. ponytail - 6 uses.
1272. earrings - 6 uses.
1273. slaughter - 6 uses.
1274. mixed - 6 uses.
1275. oww - 6 uses.
1276. filling - 6 uses.
1277. manager - 6 uses.
1278. fye - 6 uses.
1279. 1130 - 6 uses.
1280. gates - 6 uses.
1281. hour - 5 uses.
1282. bitty - 5 uses.
1283. lamborghini - 5 uses.
1284. draws - 5 uses.
1285. pictures - 5 uses.
1286. cry - 5 uses.
1287. west - 5 uses.
1288. mountain - 5 uses.
1289. wet - 5 uses.
1290. holding - 5 uses.
1291. barely - 5 uses.
1292. ceiling - 5 uses.
1293. syrup - 5 uses.
1294. shinin - 5 uses.
1295. finished - 5 uses.
1296. suit - 5 uses.
1297. trynna - 5 uses.
1298. workin - 5 uses.
1299. thinks - 5 uses.
1300. 24s - 5 uses.
1301. passenger - 5 uses.
1302. yeeeeeeea-aah - 5 uses.
1303. yeeeeeeeeeeaa-aah - 5 uses.
1304. page - 5 uses.
1305. yoself - 5 uses.
1306. screamin - 5 uses.
1307. sheets - 5 uses.
1308. singin - 5 uses.
1309. buying - 5 uses.
1310. seems - 5 uses.
1311. mood - 5 uses.
1312. plans - 5 uses.
1313. hmm-hmm-hmm - 5 uses.
1314. knocked - 5 uses.
1315. heels - 5 uses.
1316. matching - 5 uses.
1317. rapping - 5 uses.
1318. stunt - 5 uses.
1319. price - 5 uses.
1320. aah - 5 uses.
1321. dreams - 5 uses.
1322. sons - 5 uses.
1323. shine - 5 uses.
1324. waist - 5 uses.
1325. hello - 5 uses.
1326. teeth - 5 uses.
1327. watchin - 5 uses.
1328. describe - 5 uses.
1329. winning - 5 uses.
1330. zoom - 5 uses.
1331. across - 5 uses.
1332. hustle - 5 uses.
1333. lines - 5 uses.
1334. growing - 5 uses.
1335. chose - 5 uses.
1336. we’re - 5 uses.
1337. keeps - 5 uses.
1338. homies - 5 uses.
1339. mane - 5 uses.
1340. shoulders - 5 uses.
1341. tha - 5 uses.
1342. mic - 5 uses.
1343. drove - 5 uses.
1344. henny - 5 uses.
1345. carry - 5 uses.
1346. appeal - 5 uses.
1347. tongue - 5 uses.
1348. calm - 5 uses.
1349. beginning - 5 uses.
1350. heat - 5 uses.
1351. sun - 5 uses.
1352. women - 5 uses.
1353. happened - 5 uses.
1354. bricks - 5 uses.
1355. wouldve - 5 uses.
1356. major - 5 uses.
1357. lazy - 5 uses.
1358. police - 5 uses.
1359. verse - 5 uses.
1360. rapper - 5 uses.
1361. hours - 5 uses.
1362. blood - 5 uses.
1363. tune - 5 uses.
1364. gangsta - 5 uses.
1365. karaoke - 5 uses.
1366. kid - 5 uses.
1367. 24 - 5 uses.
1368. daughter - 5 uses.
1369. land - 5 uses.
1370. petty - 5 uses.
1371. motor - 5 uses.
1372. 11 - 5 uses.
1373. leather - 5 uses.
1374. representing - 5 uses.
1375. jail - 5 uses.
1376. safe - 5 uses.
1377. wassup - 5 uses.
1378. sanga - 5 uses.
1379. 20 - 5 uses.
1380. focused - 5 uses.
1381. f**k - 5 uses.
1382. touchin - 5 uses.
1383. smell - 5 uses.
1384. crowd - 5 uses.
1385. fate - 5 uses.
1386. fifty - 5 uses.
1387. dancin - 5 uses.
1388. thin - 5 uses.
1389. wee - 5 uses.
1390. quickly - 5 uses.
1391. fellas - 5 uses.
1392. leavin - 5 uses.
1393. lac - 5 uses.
1394. noticed - 5 uses.
1395. skin - 5 uses.
1396. balls - 5 uses.
1397. whoop - 5 uses.
1398. loose - 5 uses.
1399. pullin - 5 uses.
1400. pushing - 5 uses.
1401. strippers - 5 uses.
1402. holy - 5 uses.
1403. swerving - 5 uses.
1404. grip - 5 uses.
1405. grammy - 5 uses.
1406. vibe - 5 uses.
1407. happenin - 5 uses.
1408. thong - 5 uses.
1409. crown - 5 uses.
1410. crack - 5 uses.
1411. remind - 5 uses.
1412. motherf**kin - 5 uses.
1413. cus - 5 uses.
1414. nine - 5 uses.
1415. lovin - 5 uses.
1416. lemme - 5 uses.
1417. blunts - 5 uses.
1418. lincoln - 5 uses.
1419. killing - 5 uses.
1420. tweet - 5 uses.
1421. they’re - 5 uses.
1422. jumping - 5 uses.
1423. seeing - 5 uses.
1424. worried - 5 uses.
1425. y’all - 5 uses.
1426. sak - 5 uses.
1427. pase - 5 uses.
1428. shoop - 5 uses.
1429. donk - 5 uses.
1430. ooooh - 5 uses.
1431. base - 5 uses.
1432. version - 5 uses.
1433. power - 5 uses.
1434. note - 5 uses.
1435. keyboard - 5 uses.
1436. vacation - 5 uses.
1437. enjoy - 5 uses.
1438. rug - 5 uses.
1439. creep - 5 uses.
1440. paint - 5 uses.
1441. dame - 5 uses.
1442. squeeze - 5 uses.
1443. baker - 5 uses.
1444. popped - 5 uses.
1445. blac - 5 uses.
1446. hill - 5 uses.
1447. trappin - 5 uses.
1448. ville - 5 uses.
1449. draco - 5 uses.
1450. betta - 5 uses.
1451. prove - 5 uses.
1452. loso - 5 uses.
1453. buckle - 5 uses.
1454. yesterday - 5 uses.
1455. horrible - 5 uses.
1456. inspiration - 5 uses.
1457. goals - 5 uses.
1458. miserable - 5 uses.
1459. late-night - 5 uses.
1460. {dont - 5 uses.
1461. now} - 5 uses.
1462. freeze - 5 uses.
1463. split - 4 uses.
1464. youd - 4 uses.
1465. numbers - 4 uses.
1466. east - 4 uses.
1467. climb - 4 uses.
1468. tripping - 4 uses.
1469. wed - 4 uses.
1470. savage - 4 uses.
1471. fame - 4 uses.
1472. tweaking - 4 uses.
1473. babygirl - 4 uses.
1474. servin - 4 uses.
1475. trina - 4 uses.
1476. everthing - 4 uses.
1477. busy - 4 uses.
1478. stepped - 4 uses.
1479. trickin - 4 uses.
1480. yeeeeeeeeeeaa-ah - 4 uses.
1481. edge - 4 uses.
1482. persuasion - 4 uses.
1483. spending - 4 uses.
1484. samoan - 4 uses.
1485. sha-shawty - 4 uses.
1486. lied - 4 uses.
1487. 99 - 4 uses.
1488. cheating - 4 uses.
1489. nut - 4 uses.
1490. tank - 4 uses.
1491. short - 4 uses.
1492. loving - 4 uses.
1493. seats - 4 uses.
1494. background - 4 uses.
1495. single - 4 uses.
1496. doctor - 4 uses.
1497. decide - 4 uses.
1498. anywhere - 4 uses.
1499. salute - 4 uses.
1500. instagram - 4 uses.
1501. indeed - 4 uses.
1502. bounce - 4 uses.
1503. cock - 4 uses.
1504. shopping - 4 uses.
1505. photo - 4 uses.
1506. giving - 4 uses.
1507. pinky - 4 uses.
1508. cannot - 4 uses.
1509. heaven - 4 uses.
1510. blew - 4 uses.
1511. ghost - 4 uses.
1512. minutes - 4 uses.
1513. swallow - 4 uses.
1514. ching - 4 uses.
1515. piss - 4 uses.
1516. liquor - 4 uses.
1517. forward - 4 uses.
1518. reaching - 4 uses.
1519. heater - 4 uses.
1520. pillow - 4 uses.
1521. toys - 4 uses.
1522. toss - 4 uses.
1523. turned - 4 uses.
1524. steel - 4 uses.
1525. daughters - 4 uses.
1526. frown - 4 uses.
1527. backyard - 4 uses.
1528. dreads - 4 uses.
1529. licking - 4 uses.
1530. spitting - 4 uses.
1531. gather - 4 uses.
1532. movin - 4 uses.
1533. build - 4 uses.
1534. squirt - 4 uses.
1535. movies - 4 uses.
1536. bucks - 4 uses.
1537. shout - 4 uses.
1538. skrrt - 4 uses.
1539. mac - 4 uses.
1540. industry - 4 uses.
1541. pissed - 4 uses.
1542. you’ll - 4 uses.
1543. broken - 4 uses.
1544. drawers - 4 uses.
1545. f - 4 uses.
1546. messin - 4 uses.
1547. drum - 4 uses.
1548. race - 4 uses.
1549. racin - 4 uses.
1550. space - 4 uses.
1551. dyin - 4 uses.
1552. speed - 4 uses.
1553. attention - 4 uses.
1554. afraid - 4 uses.
1555. wifey - 4 uses.
1556. bright - 4 uses.
1557. rob - 4 uses.
1558. jungle - 4 uses.
1559. rb - 4 uses.
1560. murder - 4 uses.
1561. screen - 4 uses.
1562. year - 4 uses.
1563. bugatti - 4 uses.
1564. dr - 4 uses.
1565. counting - 4 uses.
1566. threw - 4 uses.
1567. alive - 4 uses.
1568. holler - 4 uses.
1569. coppers - 4 uses.
1570. songs - 4 uses.
1571. chill - 4 uses.
1572. swoll - 4 uses.
1573. guts - 4 uses.
1574. woke - 4 uses.
1575. belt - 4 uses.
1576. nuh - 4 uses.
1577. and-and - 4 uses.
1578. screw-screw - 4 uses.
1579. shawty-shawty - 4 uses.
1580. against - 4 uses.
1581. caught - 4 uses.
1582. theyre - 4 uses.
1583. pimpin - 4 uses.
1584. strong - 4 uses.
1585. fallin - 4 uses.
1586. quiet - 4 uses.
1587. aight - 4 uses.
1588. taste - 4 uses.
1589. glass - 4 uses.
1590. worse - 4 uses.
1591. dimes - 4 uses.
1592. island - 4 uses.
1593. refuse - 4 uses.
1594. missin - 4 uses.
1595. patrón - 4 uses.
1596. honest - 4 uses.
1597. murderer - 4 uses.
1598. winner - 4 uses.
1599. mirror - 4 uses.
1600. killer - 4 uses.
1601. dear - 4 uses.
1602. forgive - 4 uses.
1603. father - 4 uses.
1604. bustin - 4 uses.
1605. blizzard - 4 uses.
1606. slizzard - 4 uses.
1607. sizzurp - 4 uses.
1608. jeans - 4 uses.
1609. read - 4 uses.
1610. north - 4 uses.
1611. memphis - 4 uses.
1612. 50 - 4 uses.
1613. states - 4 uses.
1614. anyways - 4 uses.
1615. sad - 4 uses.
1616. ternt - 4 uses.
1617. thangs - 4 uses.
1618. panties - 4 uses.
1619. blast - 4 uses.
1620. eight - 4 uses.
1621. blind - 4 uses.
1622. skinny - 4 uses.
1623. o - 4 uses.
1624. pound - 4 uses.
1625. fold - 4 uses.
1626. impress - 4 uses.
1627. mention - 4 uses.
1628. c - 4 uses.
1629. mjg - 4 uses.
1630. asked - 4 uses.
1631. square - 4 uses.
1632. cheatin - 4 uses.
1633. secret - 4 uses.
1634. whenever - 4 uses.
1635. p - 4 uses.
1636. chilling - 4 uses.
1637. beauty - 4 uses.
1638. holdin - 4 uses.
1639. i’ve - 4 uses.
1640. checking - 4 uses.
1641. december - 4 uses.
1642. wishing - 4 uses.
1643. along - 4 uses.
1644. pen - 4 uses.
1645. chasing - 4 uses.
1646. cost - 4 uses.
1647. expensive - 4 uses.
1648. lock - 4 uses.
1649. bay - 4 uses.
1650. models - 4 uses.
1651. motivation - 4 uses.
1652. tat - 4 uses.
1653. tarat - 4 uses.
1654. grub - 4 uses.
1655. looks - 4 uses.
1656. marguerita - 4 uses.
1657. explain - 4 uses.
1658. apart - 4 uses.
1659. airplane - 4 uses.
1660. worldwide - 4 uses.
1661. pro - 4 uses.
1662. you’ve - 4 uses.
1663. 241 - 4 uses.
1664. whooa - 4 uses.
1665. againnnnnnnn - 4 uses.
1666. section - 4 uses.
1667. deals - 4 uses.
1668. gentlemen - 4 uses.
1669. quite - 4 uses.
1670. longer - 4 uses.
1671. abuse - 4 uses.
1672. sweating - 4 uses.
1673. gimme - 4 uses.
1674. frame - 4 uses.
1675. hoppin - 4 uses.
1676. pipe - 4 uses.
1677. turnt - 4 uses.
1678. lion - 4 uses.
1679. cops - 4 uses.
1680. sometimes - 4 uses.
1681. nooo - 4 uses.
1682. men - 4 uses.
1683. twin - 4 uses.
1684. career - 4 uses.
1685. disappear - 4 uses.
1686. 1up - 4 uses.
1687. booth - 4 uses.
1688. write - 4 uses.
1689. important - 4 uses.
1690. weeks - 4 uses.
1691. sees - 4 uses.
1692. romance - 4 uses.
1693. bouncing - 4 uses.
1694. replay - 4 uses.
1695. billy - 4 uses.
1696. deny - 4 uses.
1697. realize - 4 uses.
1698. hopping - 4 uses.
1699. stressed - 4 uses.
1700. haitians - 4 uses.
1701. changed - 4 uses.
1702. attitude - 4 uses.
1703. range - 4 uses.
1704. kinds - 4 uses.
1705. a-muthafucka - 4 uses.
1706. jeezy - 4 uses.
1707. cd - 4 uses.
1708. gotti - 4 uses.
1709. diggin’ - 4 uses.
1710. coochie - 4 uses.
1711. listenin’ - 4 uses.
1712. bombs - 4 uses.
1713. bags - 4 uses.
1714. nobodys - 4 uses.
1715. helping - 4 uses.
1716. whether - 4 uses.
1717. uh-uh - 4 uses.
1718. goodbye - 4 uses.
1719. thot - 4 uses.
1720. burking - 4 uses.
1721. wasting - 4 uses.
1722. ehe - 4 uses.
1723. ouuh - 4 uses.
1724. saxophone - 4 uses.
1725. trump - 4 uses.
1726. blank - 4 uses.
1727. speaker - 4 uses.
1728. swap - 4 uses.
1729. chopper - 4 uses.
1730. different - 4 uses.
1731. kardinal - 4 uses.
1732. gal - 4 uses.
1733. senegaaaaaaal - 4 uses.
1734. wagon - 4 uses.
1735. cute - 4 uses.
1736. tote - 4 uses.
1737. misunderstood - 4 uses.
1738. emoji - 4 uses.
1739. waited - 4 uses.
1740. datin - 4 uses.
1741. wobbly - 4 uses.
1742. hangover - 4 uses.
1743. bae - 4 uses.
1744. person - 4 uses.
1745. 25 - 4 uses.
1746. lamb - 4 uses.
1747. trover - 4 uses.
1748. fights - 4 uses.
1749. shock - 4 uses.
1750. taser - 4 uses.
1751. alooooone - 4 uses.
1752. aaahhh - 4 uses.
1753. dooooo - 4 uses.
1754. oho - 4 uses.
1755. oowoo-ooo-oo-oonow - 4 uses.
1756. mothafucker - 4 uses.
1757. energy - 3 uses.
1758. noooo - 3 uses.
1759. dress - 3 uses.
1760. drip - 3 uses.
1761. vein - 3 uses.
1762. mission - 3 uses.
1763. numb - 3 uses.
1764. silent - 3 uses.
1765. tuck - 3 uses.
1766. habit - 3 uses.
1767. basement - 3 uses.
1768. smilin - 3 uses.
1769. wildin - 3 uses.
1770. sack - 3 uses.
1771. finna - 3 uses.
1772. yam - 3 uses.
1773. payne - 3 uses.
1774. cried - 3 uses.
1775. driver - 3 uses.
1776. showtime - 3 uses.
1777. fresh - 3 uses.
1778. everybodys - 3 uses.
1779. wink - 3 uses.
1780. winked - 3 uses.
1781. proper - 3 uses.
1782. keeping - 3 uses.
1783. wanting - 3 uses.
1784. askin - 3 uses.
1785. gooood - 3 uses.
1786. magazine - 3 uses.
1787. yoooooooooooou - 3 uses.
1788. meeeeeeeeeee - 3 uses.
1789. beach - 3 uses.
1790. costa - 3 uses.
1791. rica - 3 uses.
1792. mamacita - 3 uses.
1793. yeaaah - 3 uses.
1794. penthouse - 3 uses.
1795. thicker - 3 uses.
1796. tow - 3 uses.
1797. ms - 3 uses.
1798. broads - 3 uses.
1799. grand - 3 uses.
1800. cuffing - 3 uses.
1801. smashed - 3 uses.
1802. hug - 3 uses.
1803. fairytale - 3 uses.
1804. shorties - 3 uses.
1805. throwback - 3 uses.
1806. turns - 3 uses.
1807. paying - 3 uses.
1808. seriously - 3 uses.
1809. 2000 - 3 uses.
1810. 22s - 3 uses.
1811. whatsapp - 3 uses.
1812. attack - 3 uses.
1813. illest - 3 uses.
1814. realist - 3 uses.
1815. arm - 3 uses.
1816. spin - 3 uses.
1817. standin - 3 uses.
1818. scream - 3 uses.
1819. knowing - 3 uses.
1820. hurting - 3 uses.
1821. swagger - 3 uses.
1822. rappers - 3 uses.
1823. trapper - 3 uses.
1824. plug - 3 uses.
1825. poking - 3 uses.
1826. lipstick - 3 uses.
1827. swisher - 3 uses.
1828. choke - 3 uses.
1829. ocean - 3 uses.
1830. suddenly - 3 uses.
1831. ran - 3 uses.
1832. vow - 3 uses.
1833. 30 - 3 uses.
1834. throttle - 3 uses.
1835. system - 3 uses.
1836. seater - 3 uses.
1837. channel - 3 uses.
1838. sweeter - 3 uses.
1839. pills - 3 uses.
1840. coins - 3 uses.
1841. porsche - 3 uses.
1842. platinum - 3 uses.
1843. tap - 3 uses.
1844. female - 3 uses.
1845. cockpit - 3 uses.
1846. mornin - 3 uses.
1847. tail - 3 uses.
1848. greater - 3 uses.
1849. j - 3 uses.
1850. kicking - 3 uses.
1851. hitting - 3 uses.
1852. im-a - 3 uses.
1853. __ - 3 uses.
1854. crackin - 3 uses.
1855. whippin - 3 uses.
1856. juicy - 3 uses.
1857. official - 3 uses.
1858. tucked - 3 uses.
1859. reach - 3 uses.
1860. spray - 3 uses.
1861. steak - 3 uses.
1862. autotune - 3 uses.
1863. shooting - 3 uses.
1864. handling - 3 uses.
1865. excuses - 3 uses.
1866. holmes - 3 uses.
1867. clubs - 3 uses.
1868. cum - 3 uses.
1869. jawn - 3 uses.
1870. orange - 3 uses.
1871. pedal - 3 uses.
1872. needs - 3 uses.
1873. compare - 3 uses.
1874. ridge - 3 uses.
1875. flirting - 3 uses.
1876. cracking - 3 uses.
1877. breaking - 3 uses.
1878. faith - 3 uses.
1879. kisses - 3 uses.
1880. hugs - 3 uses.
1881. icy - 3 uses.
1882. deciding - 3 uses.
1883. married - 3 uses.
1884. mall - 3 uses.
1885. oompa - 3 uses.
1886. loompa - 3 uses.
1887. dee - 3 uses.
1888. southern - 3 uses.
1889. hardest - 3 uses.
1890. backseat - 3 uses.
1891. mothafuckin - 3 uses.
1892. devil - 3 uses.
1893. trouble - 3 uses.
1894. burried - 3 uses.
1895. interest - 3 uses.
1896. decision - 3 uses.
1897. true - 3 uses.
1898. patient - 3 uses.
1899. seven - 3 uses.
1900. twisted - 3 uses.
1901. expect - 3 uses.
1902. receive - 3 uses.
1903. guitar - 3 uses.
1904. hide - 3 uses.
1905. nope - 3 uses.
1906. rolls - 3 uses.
1907. beats - 3 uses.
1908. crying - 3 uses.
1909. yea-yeah - 3 uses.
1910. nuh-nuh - 3 uses.
1911. chopped-chopped - 3 uses.
1912. dance-dance - 3 uses.
1913. ewed-ewed - 3 uses.
1914. doubt - 3 uses.
1915. spine - 3 uses.
1916. cooking - 3 uses.
1917. macaroni - 3 uses.
1918. zoes - 3 uses.
1919. flight - 3 uses.
1920. bronx - 3 uses.
1921. nap - 3 uses.
1922. killin - 3 uses.
1923. asshole - 3 uses.
1924. peephole - 3 uses.
1925. clip - 3 uses.
1926. coast - 3 uses.
1927. summer - 3 uses.
1928. lambo - 3 uses.
1929. cali - 3 uses.
1930. mattress - 3 uses.
1931. jag - 3 uses.
1932. mercedes - 3 uses.
1933. meeeee - 3 uses.
1934. nooooo - 3 uses.
1935. ripping - 3 uses.
1936. voodoo - 3 uses.
1937. flower - 3 uses.
1938. suvs - 3 uses.
1939. kong - 3 uses.
1940. purse - 3 uses.
1941. prize - 3 uses.
1942. bars - 3 uses.
1943. dapper - 3 uses.
1944. animal - 3 uses.
1945. cross - 3 uses.
1946. net - 3 uses.
1947. oh-oh-oh - 3 uses.
1948. strange - 3 uses.
1949. auto - 3 uses.
1950. maker - 3 uses.
1951. global - 3 uses.
1952. daddys - 3 uses.
1953. t-mix - 3 uses.
1954. stoppin - 3 uses.
1955. mhm - 3 uses.
1956. burned - 3 uses.
1957. course - 3 uses.
1958. fan - 3 uses.
1959. wheels - 3 uses.
1960. deliver - 3 uses.
1961. 850 - 3 uses.
1962. posted - 3 uses.
1963. pussies - 3 uses.
1964. neighborhood - 3 uses.
1965. plate - 3 uses.
1966. facebook - 3 uses.
1967. sho - 3 uses.
1968. tweeting - 3 uses.
1969. kite - 3 uses.
1970. pray - 3 uses.
1971. kodak - 3 uses.
1972. booties - 3 uses.
1973. checks - 3 uses.
1974. taller - 3 uses.
1975. chow - 3 uses.
1976. brr - 3 uses.
1977. giggidy - 3 uses.
1978. beautiful - 3 uses.
1979. someone - 3 uses.
1980. below - 3 uses.
1981. covers - 3 uses.
1982. smelling - 3 uses.
1983. eating - 3 uses.
1984. destined - 3 uses.
1985. belong - 3 uses.
1986. words - 3 uses.
1987. forgot - 3 uses.
1988. remix - 3 uses.
1989. goddess - 3 uses.
1990. naval - 3 uses.
1991. role - 3 uses.
1992. nipple - 3 uses.
1993. pulled - 3 uses.
1994. suckin - 3 uses.
1995. scratchin - 3 uses.
1996. wallet - 3 uses.
1997. guys - 3 uses.
1998. marry - 3 uses.
1999. row - 3 uses.
2000. tippin - 3 uses.
2001. housewife - 3 uses.
2002. cookin - 3 uses.
2003. cuttin - 3 uses.
2004. horny - 3 uses.
2005. possible - 3 uses.
2006. f*ck - 3 uses.
2007. bend - 3 uses.
2008. escalade - 3 uses.
2009. telly - 3 uses.
2010. surprise - 3 uses.
2011. spinnin - 3 uses.
2012. tone - 3 uses.
2013. babies - 3 uses.
2014. shorts - 3 uses.
2015. kissin - 3 uses.
2016. hotline - 3 uses.
2017. snow - 3 uses.
2018. havin - 3 uses.
2019. behave - 3 uses.
2020. dreaming - 3 uses.
2021. grave - 3 uses.
2022. played - 3 uses.
2023. loser - 3 uses.
2024. outlaw - 3 uses.
2025. mans - 3 uses.
2026. bullets - 3 uses.
2027. hunger - 3 uses.
2028. booze - 3 uses.
2029. ballin - 3 uses.
2030. lying - 3 uses.
2031. jive - 3 uses.
2032. struggling - 3 uses.
2033. bei - 3 uses.
2034. t-shirt - 3 uses.
2035. action - 3 uses.
2036. yeahhh - 3 uses.
2037. er - 3 uses.
2038. wakeup - 3 uses.
2039. count - 3 uses.
2040. groove - 3 uses.
2041. dip - 3 uses.
2042. orleans - 3 uses.
2043. yeayey - 3 uses.
2044. ohhhhhh - 3 uses.
2045. mom - 3 uses.
2046. sucking - 3 uses.
2047. unknown - 3 uses.
2048. doin’ - 3 uses.
2049. stronger - 3 uses.
2050. fitted - 3 uses.
2051. california - 3 uses.
2052. weak - 3 uses.
2053. copy - 3 uses.
2054. between - 3 uses.
2055. blocboy - 3 uses.
2056. saturday - 3 uses.
2057. twos - 3 uses.
2058. fews - 3 uses.
2059. leader - 3 uses.
2060. blame - 3 uses.
2061. masturbate - 3 uses.
2062. pink - 3 uses.
2063. sink - 3 uses.
2064. choking - 3 uses.
2065. nuts - 3 uses.
2066. classy - 3 uses.
2067. pender - 3 uses.
2068. dam - 3 uses.
2069. whatchu - 3 uses.
2070. uuh - 3 uses.
2071. meech - 3 uses.
2072. names - 3 uses.
2073. twenty - 3 uses.
2074. spilling - 3 uses.
2075. skunk - 3 uses.
2076. yeen - 3 uses.
2077. grammies - 3 uses.
2078. month - 3 uses.
2079. slump - 3 uses.
2080. alot - 3 uses.
2081. stressing - 3 uses.
2082. texting - 3 uses.
2083. iphone - 3 uses.
2084. packing - 3 uses.
2085. rooting - 3 uses.
2086. scene - 3 uses.
2087. swing - 3 uses.
2088. small - 3 uses.
2089. dro - 3 uses.
2090. puerto - 3 uses.
2091. fingas - 3 uses.
2092. aw - 3 uses.
2093. goins - 3 uses.
2094. breezy - 3 uses.
2095. famous - 3 uses.
2096. lip - 3 uses.
2097. bore - 3 uses.
2098. elevator - 3 uses.
2099. highway - 3 uses.
2100. ballin’ - 3 uses.
2101. crime - 3 uses.
2102. fool - 3 uses.
2103. there’s - 3 uses.
2104. dirt - 3 uses.
2105. funk - 3 uses.
2106. tyson - 3 uses.
2107. difference - 3 uses.
2108. beef - 3 uses.
2109. cook - 3 uses.
2110. shade - 3 uses.
2111. bus - 3 uses.
2112. post - 3 uses.
2113. pics - 3 uses.
2114. patek - 3 uses.
2115. drankin - 3 uses.
2116. stunting - 3 uses.
2117. flooded - 3 uses.
2118. blap - 3 uses.
2119. lyin - 3 uses.
2120. wow-rahh - 3 uses.
2121. above - 3 uses.
2122. bono - 3 uses.
2123. nation - 3 uses.
2124. boyfriend - 3 uses.
2125. fore - 3 uses.
2126. sunday - 3 uses.
2127. serve - 3 uses.
2128. embarrassed - 3 uses.
2129. stalling - 3 uses.
2130. fans - 3 uses.
2131. relaxing - 3 uses.
2132. thoughts - 3 uses.
2133. obviously - 3 uses.
2134. issue - 3 uses.
2135. fatter - 3 uses.
2136. wan - 3 uses.
2137. cap - 3 uses.
2138. records - 3 uses.
2139. juking - 3 uses.
2140. thirsty - 3 uses.
2141. confess - 3 uses.
2142. dancer - 3 uses.
2143. meat - 3 uses.
2144. boppin - 3 uses.
2145. dropped - 3 uses.
2146. rollercoaster - 3 uses.
2147. moon - 3 uses.
2148. rican - 3 uses.
2149. oprah - 3 uses.
2150. beemer - 3 uses.
2151. caddy - 3 uses.
2152. weekend - 3 uses.
2153. icin - 3 uses.
2154. marley - 3 uses.
