Most used words by Zapp: 
1129. cure - 1 use.
1130. ills - 1 use.
1131. growin - 1 use.
1132. camp - 1 use.
1133. space - 1 use.
1134. experiment - 1 use.
1135. government - 1 use.
1136. politician - 1 use.
1137. wfros - 1 use.
1138. million - 1 use.
1139. factory - 1 use.
1140. workers - 1 use.
1141. toil - 1 use.
1142. earth - 1 use.
1143. resources - 1 use.
1144. zinc - 1 use.
1145. coal - 1 use.
1146. oil - 1 use.
1147. system - 1 use.
1148. earn - 1 use.
1149. nothin - 1 use.
1150. crime - 1 use.
1151. brothers - 1 use.
1152. keeper - 1 use.
1153. buy - 1 use.
1154. groovin - 1 use.
1155. woke - 1 use.
1156. sleep - 1 use.
1157. certain - 1 use.
1158. bounced - 1 use.
1159. showed - 1 use.
1160. asleep - 1 use.
1161. creep - 1 use.
1162. bottoms - 1 use.
1163. doz - 1 use.
1164. flows - 1 use.
1165. heads - 1 use.
1166. bobbin - 1 use.
1167. droppin - 1 use.
1168. vibes - 1 use.
1169. meek - 1 use.
1170. count - 1 use.
1171. sheep - 1 use.
1172. escaping - 1 use.
1173. satin - 1 use.
1174. sheets - 1 use.
1175. runnin - 1 use.
1176. meet - 1 use.
1177. hook - 1 use.
1178. teenage - 1 use.
1179. teen - 1 use.
1180. racism - 1 use.
1181. poverty - 1 use.
1182. pneumonia - 1 use.
1183. die - 1 use.
1184. intensified - 1 use.
1185. pride - 1 use.
1186. denied - 1 use.
1187. street - 1 use.
1188. gangs - 1 use.
1189. farmers - 1 use.
1190. grain - 1 use.
1191. mexico - 1 use.
1192. maine - 1 use.
1193. cannonball - 1 use.
1194. called - 1 use.
1195. country - 1 use.
1196. rainbow - 1 use.
1197. coalition - 1 use.
1198. teacher - 1 use.
1199. consummate - 1 use.
1200. speaker - 1 use.
1201. office - 1 use.
1202. dr - 1 use.
1203. arthur - 1 use.
1204. thomas - 1 use.
1205. central - 1 use.
1206. state - 1 use.
1207. university - 1 use.
1208. wilberforce - 1 use.
1209. ohio - 1 use.
1210. tribute - 1 use.
1211. courageous - 1 use.
1212. challenge - 1 use.
1213. bold - 1 use.
1214. leadership - 1 use.
1215. directions - 1 use.
1216. blazing - 1 use.
1217. trail - 1 use.
1218. represents - 1 use.
1219. future - 1 use.
1220. letting - 1 use.
1221. win - 1 use.
1222. unite - 1 use.
1223. yellow - 1 use.
1224. also - 1 use.
1225. jacksons - 1 use.
1226. success - 1 use.
1227. attended - 1 use.
1228. himself - 1 use.
1229. history - 1 use.
1230. heritage - 1 use.
1231. states - 1 use.
1232. negro - 1 use.
1233. fund - 1 use.
1234. terrible - 1 use.
1235. waste - 1 use.
1236. perceive - 1 use.
1237. achieve - 1 use.
1238. gold - 1 use.
1239. wiggle - 1 use.
1240. release - 1 use.
1241. bo-bo-that - 1 use.
1242. dome - 1 use.
1243. seat - 1 use.
1244. hello - 1 use.
1245. talk-talk-talk-talk-talk-talk-talk - 1 use.
1246. cha - 1 use.
1247. odat - 1 use.
1248. strategy - 1 use.
1249. thanks - 1 use.
1250. modern - 1 use.
1251. mamas - 1 use.
1252. prima - 1 use.
1253. donas - 1 use.
1254. treasure - 1 use.
1255. rare - 1 use.
1256. delight - 1 use.
1257. cherish - 1 use.
1258. de - 1 use.
1259. stormy - 1 use.
1260. affection - 1 use.
1261. adore - 1 use.
1262. wrapped - 1 use.
1263. comfortable - 1 use.
1264. grounded - 1 use.
1265. working - 1 use.
1266. motivate - 1 use.
1267. bootzilla - 1 use.
1268. illa - 1 use.
1269. p-funk - 1 use.
1270. dilla - 1 use.
1271. filling - 1 use.
1272. hole - 1 use.
1273. sight - 1 use.
1274. momma - 1 use.
1275. basses - 1 use.
1276. faking - 1 use.
1277. hen - 1 use.
1278. question - 1 use.
1279. window - 1 use.
1280. wide - 1 use.
1281. ho - 1 use.
1282. lovely - 1 use.
1283. treat - 1 use.
1284. needed - 1 use.
1285. reconsideration - 1 use.
1286. depends - 1 use.
1287. reconciliation - 1 use.
1288. shoop-sho-be-dop - 1 use.
1289. games - 1 use.
1290. hearts - 1 use.
1291. younger - 1 use.
1292. unique - 1 use.
1293. understood - 1 use.
1294. difference - 1 use.
1295. syste-systic - 1 use.
1296. humanistic - 1 use.
1297. chuck - 1 use.
1298. stevie - 1 use.
1299. charlie - 1 use.
1300. wilson - 1 use.
1301. cameo - 1 use.
1302. grandmaster - 1 use.
1303. aretha - 1 use.
1304. queen - 1 use.
1305. staring - 1 use.
1306. sly - 1 use.
1307. stone - 1 use.
1308. detroit - 1 use.
1309. stax - 1 use.
1310. memphis - 1 use.
1311. philly - 1 use.
1312. minneapolis - 1 use.
1313. connection - 1 use.
1314. prince - 1 use.
1315. thick - 1 use.
1316. thin - 1 use.
1317. holding - 1 use.
1318. singing - 1 use.
1319. spirit - 1 use.
1320. anybody - 1 use.
1321. wave - 1 use.
1322. ham - 1 use.
1323. hock - 1 use.
1324. pot - 1 use.
1325. 2 - 1 use.
1326. 3 - 1 use.
1327. quarters - 1 use.
1328. drunk - 1 use.
1329. pint - 1 use.
1330. wop - 1 use.
1331. ma - 1 use.
1332. lights - 1 use.
1333. rain - 1 use.
1334. casting - 1 use.
1335. devil - 1 use.
1336. happened - 1 use.
1337. fell - 1 use.
1338. spendin - 1 use.
1339. sent - 1 use.
1340. yonder - 1 use.
1341. grizzly - 1 use.
1342. bear - 1 use.
1343. grizzlies - 1 use.
1344. holly - 1 use.
1345. muddy - 1 use.
1346. waters - 1 use.
1347. bit - 1 use.
1348. maybelle - 1 use.
1349. grew - 1 use.
1350. swell - 1 use.
1351. peculiar - 1 use.
1352. happening - 1 use.
1353. rice - 1 use.
1354. cage - 1 use.
1355. rolled - 1 use.
1356. fish - 1 use.
1357. bedroom - 1 use.
1358. ahhh - 1 use.
1359. 12 - 1 use.
1360. oclock - 1 use.
1361. chick - 1 use.
1362. stepped - 1 use.
1363. zone - 1 use.
1364. trance - 1 use.
1365. romance - 1 use.
1366. probably - 1 use.
1367. brighten - 1 use.
1368. peepin - 1 use.
1369. supermodel - 1 use.
1370. halle - 1 use.
1371. status - 1 use.
1372. tattooed - 1 use.
1373. all-girl - 1 use.
1374. leavin - 1 use.
1375. sorry - 1 use.
1376. gangster - 1 use.
1377. lean - 1 use.
1378. navel - 1 use.
1379. 54 - 1 use.
1380. hair - 1 use.
1381. cut - 1 use.
1382. low - 1 use.
1383. mommas - 1 use.
1384. standin - 1 use.
1385. rout - 1 use.
1386. by-ay-bounce - 1 use.
1387. na-na - 1 use.
1388. na-na-na - 1 use.
1389. company - 1 use.
1390. groovalistic - 1 use.
1391. realistic - 1 use.
1392. superalistic - 1 use.
1393. whatevers - 1 use.
1394. dial - 1 use.
1395. wakes - 1 use.
1396. freeway - 1 use.
1397. hell - 1 use.
1398. attack - 1 use.
1399. maker - 1 use.
1400. family - 1 use.
1401. partied - 1 use.
1402. kurupt - 1 use.
1403. invited - 1 use.
1404. cracking - 1 use.
1405. 64 - 1 use.
1406. chevys - 1 use.
1407. pull - 1 use.
1408. watts - 1 use.
1409. inglewood - 1 use.
1410. carson - 1 use.
1411. compton - 1 use.
1412. beach - 1 use.
1413. bc - 1 use.
1414. route-in - 1 use.
1415. banging - 1 use.
1416. bank - 1 use.
1417. switches - 1 use.
1418. leaving - 1 use.
1419. 6 - 1 use.
1420. worlds - 1 use.
1421. controlled - 1 use.
1422. tube - 1 use.
1423. form - 1 use.
1424. lend - 1 use.
1425. darlin - 1 use.
1426. raise - 1 use.
1427. offer - 1 use.
1428. cost - 1 use.
1429. doggone - 1 use.
1430. cent - 1 use.
1431. mornin - 1 use.
1432. eat - 1 use.
1433. cornflakes - 1 use.
1434. nine - 1 use.
1435. five - 1 use.
1436. tu-tu-tu-tuxedo - 1 use.
1437. flag - 1 use.
1438. tuxedo - 1 use.
1439. upstairs - 1 use.
1440. foolin - 1 use.
1441. backbone - 1 use.
1442. slips - 1 use.
1443. lemme - 1 use.
1444. oww - 1 use.
1445. guys - 1 use.
1446. surprise - 1 use.
1447. supposed - 1 use.
1448. cry - 1 use.
1449. losin - 1 use.
1450. confused - 1 use.
1451. clicked - 1 use.
1452. onto - 1 use.
1453. sittin - 1 use.
1454. log - 1 use.
1455. messed - 1 use.
1456. flutter - 1 use.
1457. wearing - 1 use.
1458. calvin - 1 use.
1459. klein - 1 use.
1460. legs - 1 use.
1461. turned - 1 use.
1462. no-good - 1 use.
1463. wear - 1 use.
1464. players - 1 use.
1465. charming - 1 use.
1466. badies - 1 use.
1467. minds - 1 use.
1468. throws - 1 use.
1469. strikes - 1 use.
1470. cat - 1 use.
1471. walks - 1 use.
1472. glance - 1 use.
1473. tha~rhythm - 1 use.
1474. laid - 1 use.
1475. aim - 1 use.
1476. ease - 1 use.
1477. helped - 1 use.
1478. due - 1 use.
1479. honeys - 1 use.
1480. gonnah - 1 use.
1481. bust - 1 use.
1482. cloudy - 1 use.
1483. high - 1 use.
1484. sky - 1 use.
1485. garden - 1 use.
1486. avenue - 1 use.
1487. disappear - 1 use.
1488. breath - 1 use.
1489. anyplace - 1 use.
1490. distraction - 1 use.
1491. skys - 1 use.
1492. limit - 1 use.
1493. intoxicating - 1 use.
1494. hows - 1 use.
1495. passion - 1 use.
1496. imagine - 1 use.
1497. chicka-ah-chicka-ah - 1 use.
1498. universal - 1 use.
1499. language - 1 use.
1500. tale - 1 use.
1501. doctors - 1 use.
1502. lawyers - 1 use.
1503. indian - 1 use.
1504. kids - 1 use.
1505. stomp - 1 use.
1506. rich - 1 use.
1507. ah-woo - 1 use.
1508. drummer - 1 use.
1509. thumpin - 1 use.
1510. sally - 1 use.
1511. golly - 1 use.
1512. molly - 1 use.
1513. dads - 1 use.
1514. bag - 1 use.
1515. mister - 1 use.
1516. limousine - 1 use.
1517. feeding - 1 use.
1518. cuisine - 1 use.
1519. built - 1 use.
1520. loafers - 1 use.
1521. chauffeurs - 1 use.
1522. pat - 1 use.
1523. famous - 1 use.
1524. hip - 1 use.
1525. basketball - 1 use.
1526. beware - 1 use.
1527. downfall - 1 use.
1528. bizarre - 1 use.
1529. puff - 1 use.
1530. cigar - 1 use.
1531. cruising - 1 use.
1532. skipping - 1 use.
1533. sliding - 1 use.
1534. dipping - 1 use.
1535. diving - 1 use.
1536. soothe - 1 use.
1537. aww - 1 use.
1538. riding - 1 use.
1539. mercedes - 1 use.
1540. luck - 1 use.
1541. taking - 1 use.
1542. easier - 1 use.
1543. pushing - 1 use.
1544. strong - 1 use.
1545. options - 1 use.
1546. prayin - 1 use.
1547. truth - 1 use.
1548. oh-ho - 1 use.
1549. blows - 1 use.
1550. denzel - 1 use.
1551. kangol - 1 use.
1552. tailored - 1 use.
1553. 2-piece - 1 use.
1554. suit - 1 use.
1555. steady - 1 use.
1556. kisses - 1 use.
1557. tellin - 1 use.
1558. cute - 1 use.
1559. feelin - 1 use.
1560. drivin - 1 use.
1561. physical - 1 use.
1562. attraction - 1 use.
1563. reaction - 1 use.
1564. guaranteed - 1 use.
1565. romancers - 1 use.
1566. chancers - 1 use.
1567. prancers - 1 use.
1568. enhancer - 1 use.
1569. rebel - 1 use.
1570. freelancer - 1 use.
1571. faraway - 1 use.
1572. crow - 1 use.
1573. deal - 1 use.
1574. causes - 1 use.
1575. rappers - 1 use.
1576. copy - 1 use.
1577. zappers - 1 use.
1578. stayed - 1 use.
1579. lover - 1 use.
1580. weekend - 1 use.
1581. reckon - 1 use.
1582. stuck - 1 use.
1583. upside - 1 use.
1584. wine-head - 1 use.
1585. fred - 1 use.
1586. dress - 1 use.
1587. stream - 1 use.
1588. shout - 1 use.
1589. foot - 1 use.
1590. beachside - 1 use.
1591. callin - 1 use.
1592. daddy - 1 use.
1593. t - 1 use.
1594. funkster - 1 use.
1595. calling - 1 use.
1596. chuch - 1 use.
1597. jail - 1 use.
1598. hangin - 1 use.
1599. george - 1 use.
1600. clinton - 1 use.
1601. frankie - 1 use.
1602. lymon - 1 use.
1603. may- - 1 use.
1604. outside - 1 use.
1605. ear - 1 use.
1606. travel - 1 use.
1607. noticed - 1 use.
1608. mothersucker - 1 use.
1609. sucker - 1 use.
1610. saying - 1 use.
1611. howd - 1 use.
1612. nah - 1 use.
1613. fill - 1 use.
1614. uh-how - 1 use.
1615. carry - 1 use.
1616. lives - 1 use.
1617. shinin - 1 use.
1618. impossible - 1 use.
1619. flawless - 1 use.
1620. recognize - 1 use.
1621. rubbin - 1 use.
1622. shoulders - 1 use.
1623. second-guessing - 1 use.
1624. moment - 1 use.
1625. warning - 1 use.
1626. blindfold - 1 use.
1627. placed - 1 use.
1628. leaves - 1 use.
1629. summer - 1 use.
1630. trees - 1 use.
1631. ugly - 1 use.
1632. disguise - 1 use.
1633. astray - 1 use.
1634. useless - 1 use.
1635. women - 1 use.
1636. cross - 1 use.
1637. walkways - 1 use.
1638. highways - 1 use.
1639. byways - 1 use.
1640. faux - 1 use.
1641. mown - 1 use.
1642. lies - 1 use.
1643. flower - 1 use.
1644. splendor - 1 use.
1645. waiting - 1 use.
1646. hinder - 1 use.
1647. reminds - 1 use.
1648. enemy - 1 use.
1649. offered - 1 use.
1650. quill - 1 use.
1651. enslavement - 1 use.
1652. kill - 1 use.
1653. chill - 1 use.
1654. legal - 1 use.
1655. twice - 1 use.
1656. advice - 1 use.
1657. stick - 1 use.
1658. shelter - 1 use.
1659. dime - 1 use.
1660. meal - 1 use.
1661. sip - 1 use.
1662. la-di-da - 1 use.
1663. da-di-da - 1 use.
1664. kindness - 1 use.
1665. dat - 1 use.
1666. desert - 1 use.
1667. do-do-do - 1 use.
1668. dont-dont-dont - 1 use.
1669. will-will-will - 1 use.
1670. wont-wont-wont - 1 use.
1671. ago - 1 use.
1672. small - 1 use.
1673. papa - 1 use.
1674. wouldnt - 1 use.
1675. school - 1 use.
1676. dressed - 1 use.
1677. sharp - 1 use.
1678. rome - 1 use.
1679. boston - 1 use.
1680. met - 1 use.
1681. zapptown - 1 use.
1682. riders - 1 use.
1683. bustas - 1 use.
1684. haters - 1 use.
1685. ask - 1 use.
1686. shonuff - 1 use.
1687. girlsll - 1 use.
1688. thangs - 1 use.
1689. ecstacy - 1 use.
1690. jump - 1 use.
1691. pros - 1 use.
