Most used words by Mika: 
1138. saisons - 3 uses.
1139. écouter - 3 uses.
1140. vain - 3 uses.
1141. météo - 3 uses.
1142. cruelle - 3 uses.
1143. autant - 3 uses.
1144. mauvais - 3 uses.
1145. sest - 3 uses.
1146. six - 3 uses.
1147. heures - 3 uses.
1148. davion - 3 uses.
1149. séparent - 3 uses.
1150. pourtant - 3 uses.
1151. près - 3 uses.
1152. mois - 3 uses.
1153. lhiver - 3 uses.
1154. prépare - 3 uses.
1155. maintenant - 3 uses.
1156. gloves - 3 uses.
1157. jtai - 3 uses.
1158. busy - 3 uses.
1159. blissful - 3 uses.
1160. unaware - 3 uses.
1161. decisions - 2 uses.
1162. decided - 2 uses.
1163. pero - 2 uses.
1164. muy - 2 uses.
1165. tarde - 2 uses.
1166. para - 2 uses.
1167. perdonarme - 2 uses.
1168. ahora - 2 uses.
1169. aprendí - 2 uses.
1170. tengo - 2 uses.
1171. mí - 2 uses.
1172. puedo - 2 uses.
1173. respirar - 2 uses.
1174. quiero - 2 uses.
1175. así - 2 uses.
1176. volveré - 2 uses.
1177. mirar - 2 uses.
1178. atrás - 2 uses.
1179. gota - 2 uses.
1180. count - 2 uses.
1181. ways - 2 uses.
1182. rather - 2 uses.
1183. anyone - 2 uses.
1184. peanut - 2 uses.
1185. bake - 2 uses.
1186. cake - 2 uses.
1187. thirteen - 2 uses.
1188. river - 2 uses.
1189. saint - 2 uses.
1190. followed - 2 uses.
1191. tumbled - 2 uses.
1192. below - 2 uses.
1193. hed - 2 uses.
1194. jumped - 2 uses.
1195. dish - 2 uses.
1196. dare - 2 uses.
1197. beauty - 2 uses.
1198. match - 2 uses.
1199. ocean - 2 uses.
1200. desperate - 2 uses.
1201. meant - 2 uses.
1202. earn - 2 uses.
1203. hero - 2 uses.
1204. mistake - 2 uses.
1205. control - 2 uses.
1206. sober - 2 uses.
1207. fog - 2 uses.
1208. daylight - 2 uses.
1209. slow - 2 uses.
1210. wearin - 2 uses.
1211. port - 2 uses.
1212. shot - 2 uses.
1213. leavin - 2 uses.
1214. raw - 2 uses.
1215. flying - 2 uses.
1216. 14 - 2 uses.
1217. hoping - 2 uses.
1218. rufus - 2 uses.
1219. auden - 2 uses.
1220. dean - 2 uses.
1221. emerson - 2 uses.
1222. bowie - 2 uses.
1223. wilfred - 2 uses.
1224. owen - 2 uses.
1225. kinsey - 2 uses.
1226. whitman - 2 uses.
1227. rimbaud - 2 uses.
1228. warhol - 2 uses.
1229. patience - 2 uses.
1230. porter - 2 uses.
1231. cocteau - 2 uses.
1232. monsieur - 2 uses.
1233. main - 2 uses.
1234. petit - 2 uses.
1235. enfant - 2 uses.
1236. bonne - 2 uses.
1237. année - 2 uses.
1238. grand-mère - 2 uses.
1239. noël - 2 uses.
1240. mille - 2 uses.
1241. bougies - 2 uses.
1242. cloches - 2 uses.
1243. rapporte - 2 uses.
1244. leurs - 2 uses.
1245. souvenirs - 2 uses.
1246. dhier - 2 uses.
1247. partout - 2 uses.
1248. table - 2 uses.
1249. sacrifice - 2 uses.
1250. endings - 2 uses.
1251. pretend - 2 uses.
1252. demons - 2 uses.
1253. perpetual - 2 uses.
1254. matters - 2 uses.
1255. fake - 2 uses.
1256. permanent - 2 uses.
1257. within - 2 uses.
1258. overdose - 2 uses.
1259. information - 2 uses.
1260. deviendras - 2 uses.
1261. tauras - 2 uses.
1262. lair - 2 uses.
1263. vas - 2 uses.
1264. regardes - 2 uses.
1265. 30 - 2 uses.
1266. smiling - 2 uses.
1267. beneath - 2 uses.
1268. mouth - 2 uses.
1269. wasnt - 2 uses.
1270. write - 2 uses.
1271. mika - 2 uses.
1272. warned - 2 uses.
1273. jesus - 2 uses.
1274. mama - 2 uses.
1275. rot - 2 uses.
1276. carefully - 2 uses.
1277. shatter - 2 uses.
1278. fear - 2 uses.
1279. solved - 2 uses.
1280. conversations - 2 uses.
1281. possible - 2 uses.
1282. johnnys - 2 uses.
1283. streets - 2 uses.
1284. poor - 2 uses.
1285. preacher - 2 uses.
1286. 20 - 2 uses.
1287. dautre - 2 uses.
1288. entre - 2 uses.
1289. quune - 2 uses.
1290. autre - 2 uses.
1291. lattend - 2 uses.
1292. jettera - 2 uses.
1293. alors - 2 uses.
1294. rouge - 2 uses.
1295. lèvres - 2 uses.
1296. vaut - 2 uses.
1297. quça - 2 uses.
1298. fout - 2 uses.
1299. vôtre - 2 uses.
1300. nôtres - 2 uses.
1301. mère - 2 uses.
1302. avant - 2 uses.
1303. noir - 2 uses.
1304. ferme - 2 uses.
1305. yeux - 2 uses.
1306. votre - 2 uses.
1307. kill - 2 uses.
1308. passion - 2 uses.
1309. missed - 2 uses.
1310. growing - 2 uses.
1311. diamond - 2 uses.
1312. strung - 2 uses.
1313. peeping - 2 uses.
1314. tom - 2 uses.
1315. station - 2 uses.
1316. clouds - 2 uses.
1317. restrictions - 2 uses.
1318. television - 2 uses.
1319. bounce - 2 uses.
1320. round - 2 uses.
1321. spend - 2 uses.
1322. reeling - 2 uses.
1323. choice - 2 uses.
1324. corner - 2 uses.
1325. crying - 2 uses.
1326. tease - 2 uses.
1327. papa - 2 uses.
1328. second - 2 uses.
1329. helps - 2 uses.
1330. itself - 2 uses.
1331. sous - 2 uses.
1332. peine - 2 uses.
1333. sauve - 2 uses.
1334. perdus - 2 uses.
1335. leau - 2 uses.
1336. vont-ils - 2 uses.
1337. fast - 2 uses.
1338. brave - 2 uses.
1339. paintings - 2 uses.
1340. callin - 2 uses.
1341. police - 2 uses.
1342. theyd - 2 uses.
1343. rester - 2 uses.
1344. froid - 2 uses.
1345. larmes - 2 uses.
1346. pleurer - 2 uses.
1347. roi - 2 uses.
1348. château - 2 uses.
1349. clear - 2 uses.
1350. scream - 2 uses.
1351. jétais - 2 uses.
1352. vienne - 2 uses.
1353. mienne - 2 uses.
1354. salaud - 2 uses.
1355. tour - 2 uses.
1356. jusquau - 2 uses.
1357. congo - 2 uses.
1358. menfuis - 2 uses.
1359. désert - 2 uses.
1360. sahara - 2 uses.
1361. haut - 2 uses.
1362. lhimalaya - 2 uses.
1363. cuba - 2 uses.
1364. tombe - 2 uses.
1365. alcoholic - 2 uses.
1366. stressed - 2 uses.
1367. sings - 2 uses.
1368. peoples - 2 uses.
1369. wives - 2 uses.
1370. altogether - 2 uses.
1371. stepping - 2 uses.
1372. forgive - 2 uses.
1373. sins - 2 uses.
1374. speaking - 2 uses.
1375. freak - 2 uses.
1376. 7-years - 2 uses.
1377. cast - 2 uses.
1378. cried - 2 uses.
1379. hea - 2 uses.
1380. blink - 2 uses.
1381. vieni - 2 uses.
1382. resterò - 2 uses.
1383. ferma - 2 uses.
1384. finché - 2 uses.
1385. vorrai - 2 uses.
1386. lifeline - 2 uses.
1387. rivedrò - 2 uses.
1388. perspective - 2 uses.
1389. bigger - 2 uses.
1390. slave - 2 uses.
1391. rhythm - 2 uses.
1392. nice - 2 uses.
1393. bitch - 2 uses.
1394. hurtin - 2 uses.
1395. sait - 2 uses.
1396. saimer - 2 uses.
1397. vulgaire - 2 uses.
1398. étagères - 2 uses.
1399. badaboum - 2 uses.
1400. coups - 2 uses.
1401. saw - 2 uses.
1402. books - 2 uses.
1403. pages - 2 uses.
1404. bank - 2 uses.
1405. ease - 2 uses.
1406. shore - 2 uses.
1407. wishing - 2 uses.
1408. simple - 2 uses.
1409. blow - 2 uses.
1410. bottle - 2 uses.
1411. paint - 2 uses.
1412. notice - 2 uses.
1413. platform - 2 uses.
1414. ballerinas - 2 uses.
1415. wakes - 2 uses.
1416. makeup - 2 uses.
1417. hips - 2 uses.
1418. moves - 2 uses.
1419. grooving - 2 uses.
1420. crash - 2 uses.
1421. using - 2 uses.
1422. being - 2 uses.
1423. miles - 2 uses.
1424. send - 2 uses.
1425. rays - 2 uses.
1426. saddest - 2 uses.
1427. news - 2 uses.
1428. price - 2 uses.
1429. pay - 2 uses.
1430. secret - 2 uses.
1431. grey - 2 uses.
1432. mundo - 2 uses.
1433. siempre - 2 uses.
1434. mi - 2 uses.
1435. matin - 2 uses.
1436. lherbe - 2 uses.
1437. tendre - 2 uses.
1438. mouches - 2 uses.
1439. piquent - 2 uses.
1440. heureux - 2 uses.
1441. elfes - 2 uses.
1442. aujourdhui - 2 uses.
1443. gendarmes - 2 uses.
1444. léger - 2 uses.
1445. poste - 2 uses.
1446. vous - 2 uses.
1447. ficelle - 2 uses.
1448. mas - 2 uses.
1449. bees - 2 uses.
1450. pool - 2 uses.
1451. shiny - 2 uses.
1452. teeth - 2 uses.
1453. sweltering - 2 uses.
1454. heat - 2 uses.
1455. colored - 2 uses.
1456. plastic - 2 uses.
1457. baking - 2 uses.
1458. frustration - 2 uses.
1459. shining - 2 uses.
1460. million - 2 uses.
1461. parler - 2 uses.
1462. quavant - 2 uses.
1463. coeur - 2 uses.
1464. pa - 2 uses.
1465. joues - 2 uses.
1466. mavait - 2 uses.
1467. valait - 2 uses.
1468. coup - 2 uses.
1469. bisou - 2 uses.
1470. sais - 2 uses.
1471. joublierai - 2 uses.
1472. bas - 2 uses.
1473. difference - 2 uses.
1474. threw - 2 uses.
1475. tv - 2 uses.
1476. houses - 2 uses.
1477. tiens - 2 uses.
1478. réveil - 2 uses.
1479. finir - 2 uses.
1480. dcompter - 2 uses.
1481. secondes - 2 uses.
1482. bord - 2 uses.
1483. unspoken - 2 uses.
1484. angry - 2 uses.
1485. delicious - 2 uses.
1486. home-cooked - 2 uses.
1487. dishes - 2 uses.
1488. tasting - 2 uses.
1489. mischievously - 2 uses.
1490. movies - 2 uses.
1491. build - 2 uses.
1492. arrangement - 2 uses.
1493. engagement - 2 uses.
1494. hateful - 2 uses.
1495. vu - 2 uses.
1496. aussi - 2 uses.
1497. corps - 2 uses.
1498. gauche - 2 uses.
1499. droite - 2 uses.
1500. tord - 2 uses.
1501. nest - 2 uses.
1502. automates - 2 uses.
1503. doutes - 2 uses.
1504. reste - 2 uses.
1505. racontes - 2 uses.
1506.  - 2 uses.
1507. mets - 2 uses.
1508. monte - 2 uses.
1509. choses - 2 uses.
1510. têtes - 2 uses.
1511. nuits - 2 uses.
1512. conseil - 2 uses.
1513. miami - 2 uses.
1514. marseille - 2 uses.
1515. lalalala - 2 uses.
1516. lalala - 2 uses.
1517. nowhere - 2 uses.
1518. tastes - 2 uses.
1519. outside - 2 uses.
1520. frightful - 2 uses.
1521. delightful - 2 uses.
1522. signs - 2 uses.
1523. brought - 2 uses.
1524. popping - 2 uses.
1525. goodnight - 2 uses.
1526. warm - 2 uses.
1527. slowly - 2 uses.
1528. good-bying - 2 uses.
1529. platter - 2 uses.
1530. upside - 2 uses.
1531. bear - 2 uses.
1532. adored - 2 uses.
1533. georgia - 2 uses.
1534. clothes - 2 uses.
1535. loved - 2 uses.
1536. victim - 2 uses.
1537. knife - 2 uses.
1538. tah - 2 uses.
1539. dah - 2 uses.
1540. testa - 2 uses.
1541. poi - 2 uses.
1542. siamo - 2 uses.
1543. dei - 2 uses.
1544. più - 2 uses.
1545. detto - 2 uses.
1546. tutto - 2 uses.
1547. luccica - 2 uses.
1548. fa - 2 uses.
1549. panorama - 2 uses.
1550. sempre - 2 uses.
1551. sotto - 2 uses.
1552. cuore - 2 uses.
1553. nascondere - 2 uses.
1554. noi - 2 uses.
1555. sentirsi - 2 uses.
1556. kills - 2 uses.
1557. ah-ah - 2 uses.
1558. chick - 2 uses.
1559. field - 2 uses.
1560. working - 2 uses.
1561. selling - 2 uses.
1562. lookout - 2 uses.
1563. picking - 2 uses.
1564. dinner - 2 uses.
1565. during - 2 uses.
1566. classes - 2 uses.
1567. toilets - 2 uses.
1568. cleans - 2 uses.
1569. clapping - 2 uses.
1570. hang - 2 uses.
1571. beg - 2 uses.
1572. history - 2 uses.
1573. repeating - 2 uses.
1574. reach - 2 uses.
1575. earth - 2 uses.
1576. thinks - 2 uses.
1577. staying - 2 uses.
1578. secretly - 2 uses.
1579. stupid - 2 uses.
1580. telling - 2 uses.
1581. normal - 2 uses.
1582. michael - 2 uses.
1583. holbrook - 2 uses.
1584. 1983 - 2 uses.
1585. texas - 2 uses.
1586. fold - 2 uses.
1587. intuition - 2 uses.
1588. cards - 2 uses.
1589. spades - 2 uses.
1590. hooked - 2 uses.
1591. provoking - 2 uses.
1592. realize - 2 uses.
1593. win - 2 uses.
1594. half - 2 uses.
1595. midnight - 2 uses.
1596. goin - 2 uses.
1597. boulevard - 2 uses.
1598. shadows - 2 uses.
1599. ni-i-i-ight - 2 uses.
1600. streetlights - 2 uses.
1601. hidin - 2 uses.
1602. dumb - 2 uses.
1603. generation - 2 uses.
1604. gloom - 2 uses.
1605. doubt - 2 uses.
1606. stress - 2 uses.
1607. plenty - 2 uses.
1608. talkin - 2 uses.
1609. cigarette - 2 uses.
1610. addiction - 2 uses.
1611. nicorette - 2 uses.
1612. chocolate - 2 uses.
1613. cigarettes - 2 uses.
1614. medicate - 2 uses.
1615. hanging - 2 uses.
1616. padre - 2 uses.
1617. taught - 2 uses.
1618. tryin - 2 uses.
1619. gross - 2 uses.
1620. seasick - 2 uses.
1621. microphone - 2 uses.
1622. eleven - 2 uses.
1623. dog - 2 uses.
1624. accordingly - 2 uses.
1625. waves - 2 uses.
1626. needed - 2 uses.
1627. white - 2 uses.
1628. kelly - 2 uses.
1629. freddie - 2 uses.
1630. identity - 2 uses.
1631. hello - 2 uses.
1632. older - 2 uses.
1633. sold - 2 uses.
1634. bones - 2 uses.
1635. toed - 2 uses.
1636. strike - 2 uses.
1637. pensiamo - 2 uses.
1638. rush - 2 uses.
1639. honey - 2 uses.
1640. trace - 2 uses.
1641. doin - 2 uses.
1642. wheres - 2 uses.
1643. 17 - 2 uses.
1644. hunter - 2 uses.
1645. sunrise - 2 uses.
1646. canyons - 2 uses.
1647. shaped - 2 uses.
1648. central - 2 uses.
1649. park - 2 uses.
1650. themselves - 2 uses.
1651. pizza - 2 uses.
1652. multiply - 2 uses.
1653. four - 2 uses.
1654. smiley - 2 uses.
1655. seat - 2 uses.
1656. montagnes - 2 uses.
1657. premier - 2 uses.
1658. après - 2 uses.
1659. déluge - 2 uses.
1660. laisser - 2 uses.
1661. dévaler - 2 uses.
1662. refuge - 2 uses.
1663. soublier - 2 uses.
1664. montréal - 2 uses.
1665. écoute-moi - 2 uses.
1666. jte - 2 uses.
1667. tfaire - 2 uses.
1668. plaisir - 2 uses.
1669. maimes - 2 uses.
1670. theories - 2 uses.
1671. hardly - 2 uses.
1672. undone - 2 uses.
1673. called - 2 uses.
1674. stitches - 1 use.
1675. rock - 1 use.
1676. bottom - 1 use.
1677. ran - 1 use.
1678. outta - 1 use.
1679. sí - 1 use.
1680. fucking - 1 use.
1681. mistakes - 1 use.
1682. regrettin - 1 use.
1683. heartbreak - 1 use.
1684. oh-oh - 1 use.
1685. meet - 1 use.
1686. emotions - 1 use.
1687. por - 1 use.
1688. después - 1 use.
1689. cada - 1 use.
1690. derrota - 1 use.
1691. vuelo - 1 use.
1692. alas - 1 use.
1693. rotas - 1 use.
1694. groundhog - 1 use.
1695. list - 1 use.
1696. villain - 1 use.
1697. crappy - 1 use.
1698. written - 1 use.
1699. fighter - 1 use.
1700. lighter - 1 use.
1701. fixing - 1 use.
1702. receive - 1 use.
1703. letter - 1 use.
1704. random - 1 use.
1705. stranger - 1 use.
1706. fella - 1 use.
1707. eager - 1 use.
1708. brand - 1 use.
1709. drownin - 1 use.
1710. abort - 1 use.
1711. legends - 1 use.
1712. short - 1 use.
1713. convinced - 1 use.
1714. creature - 1 use.
1715. sea - 1 use.
1716. stopped - 1 use.
1717. became - 1 use.
1718. member - 1 use.
1719. order - 1 use.
1720. fishs - 1 use.
1721. killed - 1 use.
1722. emperor - 1 use.
1723. prize - 1 use.
1724. escaped - 1 use.
1725. hundreds - 1 use.
1726. march - 1 use.
1727. exchange - 1 use.
1728. heros - 1 use.
1729. farewell - 1 use.
1730. discern - 1 use.
1731. toll - 1 use.
1732. bell - 1 use.
1733. survive - 1 use.
1734. alive - 1 use.
1735. slept - 1 use.
1736. cheated - 1 use.
1737. kissed - 1 use.
1738. drinks - 1 use.
1739. landslide - 1 use.
1740. blanche - 1 use.
1741. savance - 1 use.
1742. canne - 1 use.
1743. là-haut - 1 use.
1744. siffle - 1 use.
1745. branches - 1 use.
1746. souffle - 1 use.
1747. chantait - 1 use.
1748. descend - 1 use.
1749. village - 1 use.
1750. lheure - 1 use.
1751. sage - 1 use.
1752. lombre - 1 use.
1753. coin - 1 use.
1754. maison - 1 use.
1755. flotte - 1 use.
1756. prête - 1 use.
1757. lon - 1 use.
1758. entend - 1 use.
1759. mm - 1 use.
1760. oclock - 1 use.
1761. somethings - 1 use.
1762. walkin - 1 use.
1763. nothin - 1 use.
1764. carried - 1 use.
1765. narcissistic - 1 use.
1766. chansonier - 1 use.
1767. delusional - 1 use.
1768. poetry - 1 use.
1769. electric - 1 use.
1770. spiritual - 1 use.
1771. fumes - 1 use.
1772. similin - 1 use.
1773. ginza - 1 use.
1774. style - 1 use.
1775. bowing - 1 use.
1776. powdered - 1 use.
1777. queen - 1 use.
1778. dandy - 1 use.
1779. aligning - 1 use.
1780. renaissance - 1 use.
1781. enlightenment - 1 use.
1782. impeccable - 1 use.
1783. data - 1 use.
1784. mystical - 1 use.
1785. majestic - 1 use.
1786. moscow - 1 use.
1787. cathedral - 1 use.
1788. winter - 1 use.
1789. fading - 1 use.
1790. alienating - 1 use.
1791. strength - 1 use.
1792. fulfill - 1 use.
1793. mission - 1 use.
1794. agreement - 1 use.
1795. écris - 1 use.
1796. contente - 1 use.
1797. déprimante - 1 use.
1798. aime - 1 use.
1799. milliardaire - 1 use.
1800. être - 1 use.
1801. fier - 1 use.
1802. finis - 1 use.
1803. père - 1 use.
1804. tenfermes - 1 use.
1805. chambre - 1 use.
1806. vas-y - 1 use.
1807. coincé - 1 use.
1808. défoncé - 1 use.
1809. finiras - 1 use.
1810. frère - 1 use.
1811. garçons - 1 use.
1812. taper - 1 use.
1813. ballon - 1 use.
1814. populaire - 1 use.
1815. internet - 1 use.
1816. tête - 1 use.
1817. perds - 1 use.
1818. plains - 1 use.
1819. 8 - 1 use.
1820. plaire - 1 use.
1821. nserais - 1 use.
1822. chveux - 1 use.
1823. blancs - 1 use.
1824. bientôt - 1 use.
1825. faudrait - 1 use.
1826. réveilles - 1 use.
1827. seras - 1 use.
1828. vieille - 1 use.
1829. amis - 1 use.
1830. quils - 1 use.
1831. vont - 1 use.
1832. foutre - 1 use.
1833. tueras - 1 use.
1834. creepily - 1 use.
1835. holding - 1 use.
1836. tricks - 1 use.
1837. work - 1 use.
1838. richest - 1 use.
1839. confusing - 1 use.
1840. shades - 1 use.
1841. idea - 1 use.
1842. player - 1 use.
1843. downright - 1 use.
1844. stood - 1 use.
1845. weak - 1 use.
1846. path - 1 use.
1847. bleeding - 1 use.
1848. trippin - 1 use.
1849. hesitating - 1 use.
1850. hating - 1 use.
1851. similarity - 1 use.
1852. looker - 1 use.
1853. habit - 1 use.
1854. usual - 1 use.
1855. lord - 1 use.
1856. lordll - 1 use.
1857. position - 1 use.
1858. file - 1 use.
1859. doigts - 1 use.
1860. accoudé - 1 use.
1861. rue - 1 use.
1862. martyrs - 1 use.
1863. bilan - 1 use.
1864. voudrait - 1 use.
1865. meilleure - 1 use.
1866. frères - 1 use.
1867. soeurs - 1 use.
1868. sont - 1 use.
1869. rentrés - 1 use.
1870. rangs - 1 use.
1871. poussière - 1 use.
1872. vit - 1 use.
1873. rues - 1 use.
1874. venu - 1 use.
1875. frappé - 1 use.
1876. porte - 1 use.
1877. crié - 1 use.
1878. sorte - 1 use.
1879. jouvre - 1 use.
1880. inconnus - 1 use.
1881. qu - 1 use.
1882. 50 - 1 use.
1883. dalloc - 1 use.
1884. dargent - 1 use.
1885. fume - 1 use.
1886. tousse - 1 use.
1887. passera - 1 use.
1888. boire - 1 use.
1889. verre - 1 use.
1890. mourra - 1 use.
1891. matelas - 1 use.
1892. pourri - 1 use.
1893. chiens - 1 use.
1894. ressort - 1 use.
1895. rentrent - 1 use.
1896. flans - 1 use.
1897. dur - 1 use.
1898. droit - 1 use.
1899. mur - 1 use.
1900. larrêtera - 1 use.
1901. barre - 1 use.
1902. comprendre - 1 use.
1903. confound - 1 use.
1904. quickly - 1 use.
1905. addicted - 1 use.
1906. poison - 1 use.
1907. kisses - 1 use.
1908. prove - 1 use.
1909. crime - 1 use.
1910. offered - 1 use.
1911. wrist - 1 use.
1912. arrow - 1 use.
1913. asked - 1 use.
1914. bag - 1 use.
1915. devils - 1 use.
1916. county - 1 use.
1917. shotgun - 1 use.
1918. likes - 1 use.
1919. catholic - 1 use.
1920. closet - 1 use.
1921. parachute - 1 use.
1922. bought - 1 use.
1923. one-way - 1 use.
1924. greyhound - 1 use.
1925. headlines - 1 use.
1926. someones - 1 use.
1927. secrets - 1 use.
1928. ears - 1 use.
1929. yard - 1 use.
1930. castle - 1 use.
1931. weathermans - 1 use.
1932. decide - 1 use.
1933. takes - 1 use.
1934. similar - 1 use.
1935. luck - 1 use.
1936. dragging - 1 use.
1937. now—but - 1 use.
1938. carolina - 1 use.
1939. sits - 1 use.
1940. ninety - 1 use.
1941. shell - 1 use.
1942. hook - 1 use.
1943. dresses - 1 use.
1944. licks - 1 use.
1945. tries - 1 use.
1946. honestly - 1 use.
1947. dust - 1 use.
1948. hesitation - 1 use.
1949. trainent - 1 use.
1950. chats - 1 use.
1951. gris - 1 use.
1952. toits - 1 use.
1953. vivent - 1 use.
1954. baiser - 1 use.
1955. sretrouvent - 1 use.
1956. cons - 1 use.
1957. vagabonds - 1 use.
1958. dorment - 1 use.
1959. ponts - 1 use.
1960. coule - 1 use.
1961. seine - 1 use.
1962. rêvent - 1 use.
1963. volés - 1 use.
1964. nont - 1 use.
1965. osé - 1 use.
1966. aller - 1 use.
1967. poser - 1 use.
1968. sprennent - 1 use.
1969. photo - 1 use.
1970. doisneau - 1 use.
1971. jreste - 1 use.
1972. bec - 1 use.
1973. caniveau - 1 use.
1974. finit - 1 use.
1975. perdent - 1 use.
1976. seuls - 1 use.
1977. nattendre - 1 use.
1978. dis-le - 1 use.
1979. unusual - 1 use.
1980. sparks - 1 use.
1981. tempt - 1 use.
1982. keys - 1 use.
1983. taj - 1 use.
1984. mahal - 1 use.
1985. leaning - 1 use.
1986. tower - 1 use.
1987. pisa - 1 use.
1988. pyramids - 1 use.
1989. palaces - 1 use.
1990. neighbours - 1 use.
1991. pigeon - 1 use.
1992. stick - 1 use.
1993. neighbors - 1 use.
1994. briller - 1 use.
1995. décroche - 1 use.
1996. sourire - 1 use.
1997. seulment - 1 use.
1998. couché - 1 use.
1999. jette - 1 use.
2000. séclipsant - 1 use.
2001. plombe - 1 use.
2002. lambiance - 1 use.
2003. gaiment - 1 use.
2004. préfères - 1 use.
2005. protéger - 1 use.
2006. chaudes - 1 use.
2007. beau - 1 use.
2008. elles - 1 use.
2009. sèchent - 1 use.
2010. vite - 1 use.
2011. demande - 1 use.
2012. gloire - 1 use.
2013. fortune - 1 use.
2014. sauf - 1 use.
2015. chapeau - 1 use.
2016. dis-moi - 1 use.
2017. mévites - 1 use.
2018. pointe - 1 use.
2019. zénith - 1 use.
2020. quest-cquon - 1 use.
2021. frait - 1 use.
2022. prunes - 1 use.
2023. dors - 1 use.
2024. pilules - 1 use.
2025. javance - 1 use.
2026. dune - 1 use.
2027. heure - 1 use.
2028. recule - 1 use.
2029. ride - 1 use.
2030. ended - 1 use.
2031. longings - 1 use.
2032. answer - 1 use.
2033. roads - 1 use.
2034. coller - 1 use.
2035. bleu - 1 use.
2036. peau - 1 use.
2037. tatoue - 1 use.
2038. dos - 1 use.
2039. serpents - 1 use.
2040. coeurs - 1 use.
2041. bras - 1 use.
2042. tient - 1 use.
2043. morveux - 1 use.
2044. flingue - 1 use.
2045. lhumilie - 1 use.
2046. hors - 1 use.
2047. peux - 1 use.
2048. tendency - 1 use.
2049. cuddle - 1 use.
2050. clearly - 1 use.
2051. harassed - 1 use.
2052. predict - 1 use.
2053. past - 1 use.
2054. join - 1 use.
2055. dole - 1 use.
2056. mediocre - 1 use.
2057. writer - 1 use.
2058. misfortunes - 1 use.
2059. crimes - 1 use.
2060. duty - 1 use.
2061. onerous - 1 use.
2062. craving - 1 use.
2063. havent - 1 use.
2064. terms - 1 use.
2065. swim - 1 use.
2066. sit - 1 use.
2067. wrinkled - 1 use.
2068. betray - 1 use.
2069. stormy - 1 use.
2070. troops - 1 use.
2071. based - 1 use.
2072. tradition - 1 use.
2073. careless - 1 use.
2074. tread - 1 use.
2075. vision - 1 use.
2076. greater - 1 use.
2077. means - 1 use.
2078. parted - 1 use.
2079. honesty - 1 use.
2080. shackled - 1 use.
2081. deliver - 1 use.
2082. findin - 1 use.
2083. quimporte - 1 use.
2084. lendroit - 1 use.
2085. contexte - 1 use.
2086. prétexte - 1 use.
2087. fruit - 1 use.
2088. loom - 1 use.
2089. jfais - 1 use.
2090. jprends - 1 use.
2091. kilos - 1 use.
2092. téquilas - 1 use.
2093. doum - 1 use.
2094. kalthoum - 1 use.
2095. pense - 1 use.
2096. quà - 1 use.
2097. hier - 1 use.
2098. était - 1 use.
2099. failli - 1 use.
2100. par - 1 use.
2101. entrant - 1 use.
2102. dressing - 1 use.
2103. faisait - 1 use.
2104. ascenseurs - 1 use.
2105. hôtels - 1 use.
2106. monter - 1 use.
2107. 7ème - 1 use.
2108. envoie - 1 use.
2109. balader - 1 use.
2110. grooms - 1 use.
2111. reçoit - 1 use.
2112. invités - 1 use.
2113. meme - 1 use.
2114. résister - 1 use.
2115. thé - 1 use.
2116. lookoums - 1 use.
2117. dfaire - 1 use.
2118. murs - 1 use.
2119. ont - 1 use.
2120. oreilles - 1 use.
2121. voisins - 1 use.
2122. réveillent - 1 use.
2123. dbrahim - 1 use.
2124. asloum - 1 use.
2125. daller - 1 use.
2126. cavaler - 1 use.
2127. voyager - 1 use.
2128. cocotiers - 1 use.
2129. touloum - 1 use.
2130. came - 1 use.
2131. stinks - 1 use.
2132. credit - 1 use.
2133. card - 1 use.
2134. looked - 1 use.
2135. and—you - 1 use.
2136. quite - 1 use.
2137. good-looking - 1 use.
2138. face—and - 1 use.
2139. dude - 1 use.
2140. sucks - 1 use.
2141. fail - 1 use.
2142. complicate - 1 use.
2143. stubborn - 1 use.
2144. axe - 1 use.
2145. grind - 1 use.
2146. skies - 1 use.
2147. silent - 1 use.
2148. struggle - 1 use.
2149. sadness - 1 use.
2150. flew - 1 use.
2151. darkness - 1 use.
2152. girly - 1 use.
2153. señorita - 1 use.
2154. kitchen - 1 use.
2155. aim - 1 use.
2156. blowing - 1 use.
2157. invented - 1 use.
2158. risk - 1 use.
2159. buried - 1 use.
2160. waste - 1 use.
2161. inventing - 1 use.
2162. werent - 1 use.
2163. invited - 1 use.
2164. partying - 1 use.
2165. djs - 1 use.
2166. familiar - 1 use.
2167. tune - 1 use.
2168. shaking - 1 use.
2169. misled - 1 use.
2170. fate - 1 use.
2171. happens - 1 use.
2172. glasses - 1 use.
2173. kings - 1 use.
2174. queens - 1 use.
2175. smash - 1 use.
2176. chandelier - 1 use.
2177. smithereens - 1 use.
2178. mercury - 1 use.
2179. rise - 1 use.
2180. enjoy - 1 use.
2181. smilin - 1 use.
2182. beaches - 1 use.
2183. manila - 1 use.
2184. katmandu - 1 use.
2185. turns - 1 use.
2186. somos - 1 use.
2187. ciudadanos - 1 use.
2188. asi - 1 use.
2189. lado - 1 use.
2190. tú - 1 use.
2191. junto - 1 use.
2192. el - 1 use.
2193. está - 1 use.
2194. tus - 1 use.
2195. manos - 1 use.
2196. sabes - 1 use.
2197. como - 1 use.
2198. diamante - 1 use.
2199. brillara - 1 use.
2200. vais - 1 use.
2201. divinités - 1 use.
